Muestra,Tension_U,Tension_V,Tension_W
310,-3.254414e-05,0.000000e+00,0.000000e+00
311,-3.254414e-05,0.000000e+00,0.000000e+00
312,-3.254414e-05,0.000000e+00,0.000000e+00
313,-3.254414e-05,0.000000e+00,0.000000e+00
314,-3.254414e-05,0.000000e+00,0.000000e+00
315,-3.254414e-05,0.000000e+00,0.000000e+00
316,-3.254414e-05,0.000000e+00,0.000000e+00
317,0.000000e+00,-3.254414e-05,0.000000e+00
318,0.000000e+00,-3.254414e-05,0.000000e+00
319,0.000000e+00,-3.254414e-05,0.000000e+00
320,0.000000e+00,-3.254414e-05,0.000000e+00
321,0.000000e+00,-3.254414e-05,0.000000e+00
322,0.000000e+00,-3.254414e-05,0.000000e+00
323,0.000000e+00,-3.254414e-05,0.000000e+00
324,0.000000e+00,-3.254414e-05,0.000000e+00
325,0.000000e+00,-3.254414e-05,0.000000e+00
326,0.000000e+00,-1.515985e-03,0.000000e+00
327,0.000000e+00,-1.515985e-03,0.000000e+00
328,0.000000e+00,-1.515985e-03,0.000000e+00
329,-8.760701e-01,0.000000e+00,8.745541e-01
330,-8.760701e-01,0.000000e+00,8.745541e-01
331,-8.760701e-01,0.000000e+00,8.745541e-01
332,-8.760701e-01,0.000000e+00,8.745541e-01
333,-8.760701e-01,0.000000e+00,8.745541e-01
334,-8.760701e-01,0.000000e+00,8.745541e-01
335,-8.760701e-01,0.000000e+00,8.745541e-01
336,-8.760701e-01,0.000000e+00,8.745541e-01
337,-8.760701e-01,0.000000e+00,8.745541e-01
338,-8.760701e-01,0.000000e+00,8.745541e-01
339,-8.760701e-01,0.000000e+00,8.745541e-01
340,-8.760701e-01,0.000000e+00,8.745541e-01
341,-8.760701e-01,0.000000e+00,8.745541e-01
342,0.000000e+00,-8.760701e-01,8.776214e-01
343,0.000000e+00,-8.760701e-01,8.776214e-01
344,0.000000e+00,-8.760701e-01,8.776214e-01
345,0.000000e+00,-8.760701e-01,8.776214e-01
346,0.000000e+00,-8.760701e-01,8.776214e-01
347,0.000000e+00,-8.760701e-01,8.776214e-01
348,0.000000e+00,-8.760701e-01,8.776214e-01
349,0.000000e+00,-8.760701e-01,8.776214e-01
350,0.000000e+00,-8.760701e-01,8.776214e-01
351,0.000000e+00,-8.760701e-01,8.776214e-01
352,0.000000e+00,-8.760701e-01,8.776214e-01
353,0.000000e+00,-8.760701e-01,8.776214e-01
354,0.000000e+00,-8.760701e-01,8.776214e-01
355,0.000000e+00,0.000000e+00,1.551330e-03
356,0.000000e+00,0.000000e+00,1.551330e-03
357,0.000000e+00,0.000000e+00,1.551330e-03
358,0.000000e+00,0.000000e+00,1.551330e-03
359,0.000000e+00,0.000000e+00,-3.802776e-05
360,0.000000e+00,0.000000e+00,-3.802776e-05
361,0.000000e+00,0.000000e+00,-3.802776e-05
362,0.000000e+00,0.000000e+00,-3.802776e-05
363,0.000000e+00,0.000000e+00,-3.802776e-05
364,0.000000e+00,0.000000e+00,-3.802776e-05
365,0.000000e+00,0.000000e+00,-3.802776e-05
366,0.000000e+00,0.000000e+00,-3.802776e-05
367,0.000000e+00,-8.760701e-01,8.760321e-01
368,0.000000e+00,-8.760701e-01,8.760321e-01
369,0.000000e+00,-8.760701e-01,8.760321e-01
370,0.000000e+00,-8.760701e-01,8.760321e-01
371,0.000000e+00,-8.760701e-01,8.760321e-01
372,0.000000e+00,-8.760701e-01,8.760321e-01
373,0.000000e+00,-8.760701e-01,8.760321e-01
374,0.000000e+00,-8.760701e-01,8.760321e-01
375,0.000000e+00,-8.775453e-01,8.760321e-01
376,0.000000e+00,-8.775453e-01,8.760321e-01
377,0.000000e+00,-8.775453e-01,8.760321e-01
378,0.000000e+00,-8.775453e-01,8.760321e-01
379,0.000000e+00,-8.775453e-01,8.760321e-01
380,-8.775453e-01,0.000000e+00,8.760321e-01
381,-8.775453e-01,0.000000e+00,8.760321e-01
382,-8.775453e-01,0.000000e+00,8.760321e-01
383,-8.775453e-01,0.000000e+00,8.760321e-01
384,-8.775453e-01,0.000000e+00,8.760321e-01
385,-8.775453e-01,0.000000e+00,8.760321e-01
386,-8.775453e-01,0.000000e+00,8.760321e-01
387,-8.775453e-01,0.000000e+00,8.760321e-01
388,-8.775453e-01,0.000000e+00,8.760321e-01
389,-8.775453e-01,0.000000e+00,8.760321e-01
390,-8.775453e-01,0.000000e+00,8.760321e-01
391,-8.775453e-01,0.000000e+00,8.790992e-01
392,-8.775453e-01,0.000000e+00,8.790992e-01
393,0.000000e+00,1.553893e-03,0.000000e+00
394,0.000000e+00,1.553893e-03,0.000000e+00
395,0.000000e+00,1.553893e-03,0.000000e+00
396,0.000000e+00,1.553893e-03,0.000000e+00
397,0.000000e+00,1.553893e-03,0.000000e+00
398,0.000000e+00,1.553893e-03,0.000000e+00
399,0.000000e+00,1.553893e-03,0.000000e+00
400,0.000000e+00,1.553893e-03,0.000000e+00
401,0.000000e+00,1.553893e-03,0.000000e+00
402,0.000000e+00,1.553893e-03,0.000000e+00
403,0.000000e+00,1.553893e-03,0.000000e+00
404,0.000000e+00,1.553893e-03,0.000000e+00
405,1.553893e-03,0.000000e+00,0.000000e+00
406,1.553893e-03,0.000000e+00,0.000000e+00
407,1.553893e-03,0.000000e+00,0.000000e+00
408,-4.351139e-05,0.000000e+00,0.000000e+00
409,-4.351139e-05,0.000000e+00,0.000000e+00
410,-4.351139e-05,0.000000e+00,0.000000e+00
411,-4.351139e-05,0.000000e+00,0.000000e+00
412,0.000000e+00,0.000000e+00,-4.351139e-05
413,-4.351139e-05,0.000000e+00,0.000000e+00
414,-4.351139e-05,0.000000e+00,0.000000e+00
415,-4.351139e-05,0.000000e+00,0.000000e+00
416,-4.351139e-05,0.000000e+00,0.000000e+00
417,-4.351139e-05,0.000000e+00,0.000000e+00
418,-4.351139e-05,0.000000e+00,0.000000e+00
419,0.000000e+00,-4.351139e-05,0.000000e+00
420,0.000000e+00,-4.351139e-05,0.000000e+00
421,0.000000e+00,-4.351139e-05,0.000000e+00
422,0.000000e+00,-4.351139e-05,0.000000e+00
423,0.000000e+00,-4.351139e-05,0.000000e+00
424,0.000000e+00,-1.510441e-03,0.000000e+00
425,0.000000e+00,-1.510441e-03,0.000000e+00
426,0.000000e+00,-1.510441e-03,0.000000e+00
427,0.000000e+00,-1.510441e-03,0.000000e+00
428,0.000000e+00,-1.510441e-03,0.000000e+00
429,0.000000e+00,-1.510441e-03,0.000000e+00
430,0.000000e+00,-1.510441e-03,0.000000e+00
431,0.000000e+00,-1.510441e-03,0.000000e+00
432,-8.790122e-01,0.000000e+00,8.775018e-01
433,-8.790122e-01,0.000000e+00,8.775018e-01
434,-8.790122e-01,0.000000e+00,8.775018e-01
435,-8.790122e-01,0.000000e+00,8.775018e-01
436,-8.790122e-01,0.000000e+00,8.775018e-01
437,-8.790122e-01,0.000000e+00,8.775018e-01
438,-8.790122e-01,0.000000e+00,8.775018e-01
439,-8.790122e-01,0.000000e+00,8.775018e-01
440,-8.790122e-01,0.000000e+00,8.805687e-01
441,-8.790122e-01,0.000000e+00,8.805687e-01
442,-8.790122e-01,0.000000e+00,8.805687e-01
443,-8.790122e-01,0.000000e+00,8.805687e-01
444,-8.790122e-01,0.000000e+00,8.805687e-01
445,0.000000e+00,-8.790122e-01,8.805687e-01
446,0.000000e+00,-8.790122e-01,8.805687e-01
447,0.000000e+00,-8.790122e-01,8.805687e-01
448,0.000000e+00,-8.790122e-01,8.805687e-01
449,0.000000e+00,-8.790122e-01,8.805687e-01
450,0.000000e+00,-8.790122e-01,8.805687e-01
451,0.000000e+00,-8.790122e-01,8.805687e-01
452,0.000000e+00,-8.790122e-01,8.805687e-01
453,0.000000e+00,-8.790122e-01,8.805687e-01
454,0.000000e+00,-8.790122e-01,8.805687e-01
455,0.000000e+00,-8.790122e-01,8.805687e-01
456,0.000000e+00,-8.790122e-01,8.789634e-01
457,0.000000e+00,0.000000e+00,-4.887581e-05
458,0.000000e+00,0.000000e+00,-4.887581e-05
459,0.000000e+00,0.000000e+00,-4.887581e-05
460,0.000000e+00,0.000000e+00,-4.887581e-05
461,0.000000e+00,0.000000e+00,-4.887581e-05
462,0.000000e+00,0.000000e+00,-4.887581e-05
463,0.000000e+00,0.000000e+00,-4.887581e-05
464,0.000000e+00,0.000000e+00,-4.887581e-05
465,0.000000e+00,0.000000e+00,-4.887581e-05
466,0.000000e+00,0.000000e+00,-4.887581e-05
467,0.000000e+00,0.000000e+00,-4.887581e-05
468,0.000000e+00,0.000000e+00,-4.887581e-05
469,0.000000e+00,0.000000e+00,-4.887581e-05
470,0.000000e+00,-8.790122e-01,8.789634e-01
471,0.000000e+00,-8.790122e-01,8.789634e-01
472,0.000000e+00,-8.790122e-01,8.789634e-01
473,0.000000e+00,-8.804709e-01,8.789634e-01
474,0.000000e+00,-8.804709e-01,8.789634e-01
475,0.000000e+00,-8.804709e-01,8.789634e-01
476,0.000000e+00,-8.804709e-01,8.789634e-01
477,0.000000e+00,-8.804709e-01,8.789634e-01
478,0.000000e+00,-8.804709e-01,8.789634e-01
479,0.000000e+00,-8.804709e-01,8.789634e-01
480,0.000000e+00,-8.804709e-01,8.789634e-01
481,-8.804709e-01,0.000000e+00,8.789634e-01
482,-8.804709e-01,0.000000e+00,8.789634e-01
483,-8.804709e-01,0.000000e+00,8.789634e-01
484,-8.804709e-01,0.000000e+00,8.789634e-01
485,-8.804709e-01,0.000000e+00,8.789634e-01
486,-8.804709e-01,0.000000e+00,8.789634e-01
487,-8.804709e-01,0.000000e+00,8.789634e-01
488,-8.804709e-01,0.000000e+00,8.789634e-01
489,-8.804709e-01,0.000000e+00,8.820300e-01
490,-8.804709e-01,0.000000e+00,8.820300e-01
491,-8.804709e-01,0.000000e+00,8.820300e-01
492,-8.804709e-01,0.000000e+00,8.820300e-01
493,-8.804709e-01,0.000000e+00,8.820300e-01
494,0.000000e+00,1.559138e-03,0.000000e+00
495,0.000000e+00,1.559138e-03,0.000000e+00
496,0.000000e+00,1.559138e-03,0.000000e+00
497,0.000000e+00,1.559138e-03,0.000000e+00
498,0.000000e+00,1.559138e-03,0.000000e+00
499,0.000000e+00,1.559138e-03,0.000000e+00
500,0.000000e+00,1.559138e-03,0.000000e+00
501,0.000000e+00,1.559138e-03,0.000000e+00
502,0.000000e+00,1.559138e-03,0.000000e+00
503,0.000000e+00,1.559138e-03,0.000000e+00
504,0.000000e+00,1.559138e-03,0.000000e+00
505,0.000000e+00,-5.429983e-05,0.000000e+00
506,0.000000e+00,-5.429983e-05,0.000000e+00
507,-5.429983e-05,0.000000e+00,0.000000e+00
508,-5.429983e-05,0.000000e+00,0.000000e+00
509,-5.429983e-05,0.000000e+00,0.000000e+00
510,-5.429983e-05,0.000000e+00,0.000000e+00
511,-5.429983e-05,0.000000e+00,0.000000e+00
512,-5.429983e-05,0.000000e+00,0.000000e+00
513,-5.429983e-05,0.000000e+00,0.000000e+00
514,0.000000e+00,0.000000e+00,-5.429983e-05
515,-5.429983e-05,0.000000e+00,0.000000e+00
516,-5.429983e-05,0.000000e+00,0.000000e+00
517,-5.429983e-05,0.000000e+00,0.000000e+00
518,-5.429983e-05,0.000000e+00,0.000000e+00
519,-5.429983e-05,0.000000e+00,0.000000e+00
